CHIP  CHANNEL  layer  module_IX  module_IV  IX  IV  TYPE
   1        0      1          0          0  -3   5     0
   1        2      1          0          0  -2   4     4
   1        4      1          0          0  -3   4     0
   1        6      1          0          0  -4   6     0
   1        8      1          0          0  -3   3     0
   1       10      1          0          0  -5   6     2
   1       12      1          0          0  -4   5     0
   1       14      1          0          0  -2   2     0
   1       16      1          0          0  -2   3     0
   1       18      1          0          0  -1   2     0
   1       20      1          0          0  -1   3     0
   1       22      1          0          0   0   2     0
   1       24      1          0          0   0   1     0
   1       26      1          0          0   1   1     0
   1       28      1          0          0   1   2     0
   1       30      1          0          0   2   2     0
   1       32      1          0          0   2   3     0
   1       34      1          0          0   1   3     0
   1       36      1          0          0   1   4     0
   1       38      1          0          0   0   4     0
   1       40      1          0          0   0   3     0
   1       42      1          0          0  -1   4     0
   1       44      1          0          0   3   3     0
   1       46      1          0          0  -4   7     3
   1       48      1          0          0   2   4     0
   1       50      1          0          0   1   5     2
   1       52      1          0          0   0   5     0
   1       54      1          0          0  -1   5     0
   1       56      1          0          0  -1   6     2
   1       58      1          0          0  -3   6     0
   1       60      1          0          0  -2   5     0
   1       62      1          0          0  -2   6     0
   2        0      1          0          0   5  -2     0
   2        2      1          0          0   6  -2     0
   2        4      1          0          0   6  -3     0
   2        6      1          0          0   5  -1     0
   2        8      1          0          0   5   0     0
   2       10      1          0          0   6  -1     2
   2       12      1          0          0   5   1     2
   2       14      1          0          0   4   0     0
   2       16      1          0          0   4  -1     0
   2       18      1          0          0   3   0     0
   2       20      1          0          0   4   3     3
   2       22      1          0          0   4   2     0
   2       24      1          0          0   4   1     0
   2       26      1          0          0   3   1     0
   2       28      1          0          0   3   2     0
   2       30      1          0          0   2   1     0
   2       32      1          0          0   2   0     0
   2       34      1          0          0   1   0     0
   2       36      1          0          0   1  -1     0
   2       38      1          0          0   2  -1     0
   2       40      1          0          0   4  -4     0
   2       42      1          0          0   3  -3     0
   2       44      1          0          0   4  -3     0
   2       46      1          0          0   5  -5     0
   2       48      1          0          0   6  -5     2
