#Module_ID	#ASIC_ID	#Channel	#ADC_To_MIP	#LowGain_To_HighGain_Transition	#LowGain_To_HighGain_Conversion	#TOT_To_LowGain_Transition	#TOT_To_LowGain_Conversion	#TOT_Offset	#Fully_calibrated
71	2	44	0.0215416	1823.88	7.97641	1113	5	177	0
71	2	46	0.0217739	1823.88	7.97641	1113	5	177	0
71	2	48	0.0219392	1823.88	7.97641	1113	5	177	0
71	2	50	0.0223098	1823.88	7.97641	1113	5	177	0
71	2	52	0.0214034	1823.88	7.97641	1113	5	177	0
71	2	54	0.0216832	1823.88	7.97641	1113	5	177	0
71	2	56	0.0208887	1823.88	7.97641	1113	5	177	0
71	2	58	0.0213222	1823.88	7.97641	1113	5	177	0
71	2	60	0.0217643	1823.88	7.97641	1113	5	177	0
71	2	62	0.0219949	1823.88	7.97641	1113	5	177	0
71	3	0	0.0217897	1823.88	7.97641	1113	5	177	0
71	3	2	0.0219008	1823.88	7.97641	1113	5	177	0
71	3	4	0.0220995	1823.88	7.97641	1113	5	177	0
71	3	6	0.0219726	1823.88	7.97641	1113	5	177	0
71	3	8	0.0217364	1823.88	7.97641	1113	5	177	0
71	3	10	0.0217643	1823.88	7.97641	1113	5	177	0
71	3	12	0.0217643	1823.88	7.97641	1113	5	177	0
71	3	14	0.0222883	1823.88	7.97641	1113	5	177	0
71	3	16	0.0217445	1823.88	7.97641	1113	5	177	0
71	3	18	0.0225722	1823.88	7.97641	1113	5	177	0
71	3	20	0.0217643	1823.88	7.97641	1113	5	177	0
71	3	22	0.0217643	1823.88	7.97641	1113	5	177	0
71	3	24	0.0223927	1823.88	7.97641	1113	5	177	0
71	3	26	0.0222317	1823.88	7.97641	1113	5	177	0
71	3	28	0.0217643	1823.88	7.97641	1113	5	177	0
71	3	30	0.0222715	1823.88	7.97641	1113	5	177	0
71	3	32	0.0219348	1823.88	7.97641	1113	5	177	0
71	3	34	0.0224897	1823.88	7.97641	1113	5	177	0
71	3	36	0.0223369	1823.88	7.97641	1113	5	177	0
71	3	38	0.0221668	1823.88	7.97641	1113	5	177	0
71	3	40	0.0221422	1823.88	7.97641	1113	5	177	0
71	3	42	0.022021	1823.88	7.97641	1113	5	177	0
71	3	44	0.0222267	1823.88	7.97641	1113	5	177	0
71	3	46	0.0217983	1823.88	7.97641	1113	5	177	0
71	3	48	0.0217643	1823.88	7.97641	1113	5	177	0
71	3	50	0.0221506	1823.88	7.97641	1113	5	177	0
71	3	52	0.0225574	1823.88	7.97641	1113	5	177	0
71	3	54	0.0224309	1823.88	7.97641	1113	5	177	0
71	3	56	0.0223296	1823.88	7.97641	1113	5	177	0
71	3	58	0.0221411	1823.88	7.97641	1113	5	177	0
71	3	60	0.0217605	1823.88	7.97641	1113	5	177	0
71	3	62	0.0219565	1823.88	7.97641	1113	5	177	0
64	0	0	0.0211025	1787.41	7.84172	1113	5	177	0
64	0	2	0.0212571	1560.85	7.92264	1113	5	177	0
64	0	4	0.0215003	1427.56	7.87158	1113	5	177	0
64	0	6	0.0215678	1766.18	7.87186	1113	5	177	0
64	0	8	0.0218416	1687.11	7.85994	1113	5	177	0
64	0	10	0.0209625	1655.58	8.15053	1113	5	177	0
64	0	12	0.0205092	1664.12	7.75475	1113	5	177	0
64	0	14	0.0215943	2075.44	7.85871	1113	5	177	0
64	0	16	0.0214143	1838.64	7.81243	1113	5	177	0
64	0	18	0.0212411	1754.1	7.89342	1113	5	177	0
64	0	20	0.0216753	1553.07	7.77588	1113	5	177	0
64	0	22	0.0215014	1636.62	7.93644	1113	5	177	0
64	0	24	0.0219906	1947.91	7.9151	1113	5	177	0
64	0	26	0.0212332	1818.77	7.93938	1113	5	177	0
64	0	28	0.0214195	1385.05	7.84586	1113	5	177	0
64	0	30	0.0212978	1758.84	7.86233	1113	5	177	0
64	0	32	0.0218353	2005.74	7.8674	1113	5	177	0
64	0	34	0.0218531	1420.74	7.94972	1113	5	177	0
64	0	36	0.0212748	1904.3	7.94311	1113	5	177	0
64	0	38	0.0213244	1525.98	7.85089	1113	5	177	0
64	0	40	0.0212353	1810.61	7.98265	1113	5	177	0
64	0	42	0.0214243	1530.67	7.8807	1113	5	177	0
64	0	44	0.0220411	1672.51	8.15133	1113	5	177	0
64	0	46	0.0220411	1759	8.14527	1113	5	177	0
64	0	48	0.0216235	1904.97	7.86641	1113	5	177	0
64	0	50	0.0220411	1873.37	8.03279	1113	5	177	0
64	0	52	0.0213678	1712.17	7.88772	1113	5	177	0
64	0	54	0.021295	1681.94	7.81104	1113	5	177	0
