207 12 137 638 108 41.8 29.1 -999 -999 -999
213 9 128 640 107 42.7 29.1 -22.595 57 22.5
217 10 123 644 111 45 29.1 17 60 22.4
224 8 119 636 100 43.6 29.1 16.2 58.5 22.7
229 9 101 631 93 42.6 29.2 -22.055 56.4 23.1
235 8 95 632 96 44 29.1 -22.31 57.7 23.1
236 9 97 615 94 43.1 29.2 -22.525 56.8 23.2
237 9 101 614 94 43.4 29.2 -22.635 56.8 23.2
238 9 100 615 96 43.9 29.2 -22.73 58.4 23.1
239 10 101 615 99 44 29.2 -22.79 59.4 23
240 9 105 614 99 45.7 29.1 -22.945 59.4 22.7
242 12 108 615 96 42.9 29.1 -23.05 57.3 22.6
243 10 105 618 92 42.3 29.1 -23.275 57.4 22.4
244 10 104 632 92 42.2 29.1 -23.44 57.6 22.3
247 9 101 633 91 42.6 29.1 -23.6 57.7 22.2
250 9 98 634 89 42.1 29.1 -23.785 57.4 22.1
252 9 97 636 88 41.8 29.1 -23.81 57.5 22
259 9 96 619 88 42 29 -24.1 57.6 21.9
260 10 96 607 86 42.3 29 -24.2 58.2 21.9
265 9 94 615 87 42.3 29.1 19.4 57.3 22
268 12 121 518 105 42 29 -21.755 59.8 21.4
271 17 125 521 98 42.4 29 -21.875 63.8 20.3
279 9 97 515 80 39.5 29 -0.01 56.4 21.3
281 8 88 506 73 38.1 29 -0.015 54.8 21.3
283 7 78 510 72 37.2 29 -0.02 52.9 21.3
285 7 74 506 75 37 29 -0.02 53.3 21.5
286 6 74 505 73 37.3 29 -0.02 53 21.7
287 7 73 506 71 37.5 29.1 -0.02 52.5 21.7
290 7 68 504 68 37 29.1 -0.02 52.3 21.7
292 7 65 515 67 36.2 29.1 -0.02 51.7 21.8
297 7 62 530 64 35.5 29 -0.065 50.9 21.5
303 7 59 534 61 34.7 29 -0.065 49.9 21.3
308 6 56 538 60 34 29 -0.065 49.7 21.2
309 6 53 538 61 33.6 29 -0.065 49.3 21.1
313 6 54 539 54 33.1 29 -0.065 49.7 21.2
318 7 51 537 56 32.5 29 -0.075 48.2 20.9
326 9 50 537 56 33.2 29 -0.15 48.6 21
331 9 49 535 53 33.4 29 -0.18 48.6 21
338 9 51 527 53 33.4 29 -0.285 49.2 21.1
342 6 51 525 56 33.4 29 -999 -999 -999
344 6 53 521 51 33.4 29 -0.3 48.2 21.3
350 7 51 514 52 33.4 29 -0.305 47.1 21.7
365 6 49 511 53 33.4 29 -0.305 46.4 21.9
366 7 50 508 52 -999 -999 -0.3 46.9 22.1
367 6 52 514 54 34.8 29.1 -0.27 46.5 22.5
369 6 52 519 50 35 29.1 -0.295 46.3 22.4
372 6 49 544 49 34.2 29.1 -0.05 46 22.3
373 6 48 549 49 34 29.1 -0.03 46.5 22.1
374 5 48 552 48 34 29.1 -0.03 47.1 22
375 6 48 556 50 34.1 29.1 -0.03 47.4 21.9
376 8 47 560 50 34.1 29.1 -0.025 47.8 21.8
378 6 47 563 48 34.1 29.1 -0.025 48.2 21.7
381 8 49 565 51 34.3 29.1 -0.025 48.7 21.8
385 7 47 532 48 34.3 29 0.01 47.4 21.8
389 7 49 518 48 34.9 29.1 30.3 47.1 22.2
390 6 46 517 46 33.3 29.1 20 44.3 22.5
393 6 45 516 45 33.6 29.2 -0.34 43 22.9
396 6 50 530 46 35.7 29.2 -0.33 46.4 22.9
398 6 49 531 46 35 29.1 -0.245 46 22.8
399 7 48 533 46 35.1 29.1 -0.245 45.8 22.7
400 6 47 542 45 34.7 29.1 -0.315 47 22.3
402 6 46 547 44 34.3 29.1 -0.315 47 22.3
404 7 44 563 44 33.9 29.1 -0.325 47.1 21.8
405 6 43 560 42 33.7 29.1 -0.455 47.2 21.8
407 6 43 560 45 34.1 29.1 -0.52 47.6 21.8
409 6 44 558 44 34.5 29.1 -0.57 47.9 21.9
411 7 51 522 47 37.1 29.1 -0.65 50.3 22.1
412 7 50 550 45 37 29.1 -0.655 49.1 22.4
414 8 49 560 45 36.3 29.1 0.15 47.8 22.6
416 6 44 550 41 33 29.1 -0.25 42.8 22.9
417 6 45 518 42 34.6 29.2 -0.56 45 23
419 6 49 526 43 36.2 29.2 -0.825 46.2 23.2
421 7 52 533 44 37 29.2 -0.945 47 23.3
423 8 55 536 45 37.1 29.2 -0.96 47.4 23.3
425 7 53 538 46 37 29.2 -0.965 47.1 23.3
427 8 49 537 46 35.9 29.2 -0.99 45.5 23.2
429 7 48 542 44 35.6 29.2 -1.02 45.7 23.2
433 8 49 550 46 36.9 29.2 -1.15 47.8 23
434 6 51 557 49 37.5 29.1 -1.245 49.3 22.8
435 6 51 540 50 38 29.1 -999 -999 -999
437 6 51 565 50 38.1 29.1 -1.41 50.5 22.5
439 7 51 564 50 37.9 29.1 -1.505 50.8 22.4
441 6 52 568 50 38.6 29.1 -1.625 51.5 22.4
443 6 53 571 51 39 29.1 -1.71 51.8 22.5
445 7 53 566 51 38.8 29.1 -1.8 51.3 22.6
448 7 52 566 50 38.3 29.1 -1.825 50 22.7
449 7 51 561 50 38.1 29.1 -1.835 49.4 22.8
451 6 50 555 49 37.6 29.2 -1.835 48.5 23
452 6 50 557 49 37.5 29.2 -1.84 47.9 23.1
456 7 58 549 49 41.8 27.4 -1.835 47.1 23.4
457 9 57 546 48 41.8 27.3 -1.835 46.7 23.5
459 7 52 543 47 41.1 27.3 -1.835 45.9 23.4
460 6 52 544 46 41.1 27.3 -1.835 46.1 23.3
461 6 49 546 46 40.7 27.3 -1.835 46.3 23.1
462 6 47 554 49 33.2 30.8 -1.835 46.8 23
464 8 41 563 45 32.1 31 -1.835 46.9 22.8
466 7 37 566 42 32 31 -1.835 47.1 22.7
467 7 33 567 41 31.6 30.9 -2 47.1 22.4
469 6 32 546 42 31.7 30.9 -2.04 47.4 22.4
