1 	 0	EE	0	0	62
2 	 0	EE	0	0	144
3 	 0	EE	0	0	145
4 	 0	EE	0	0	51
5 	 0	EE	0	0	142
6 	 0	EE	0	0	76
7 	 0	EE	0	0	70
8 	 1	FH	1	0	79
8 	 1	FH	0	-1	82
8 	 1	FH	0	1	72
8 	 1	FH	1	-1	87
8 	 1	FH	-1	1	69
8 	 1	FH	0	0	44
8 	 1	FH	-1	0	86
9 	 1	FH	1	0	85
9 	 1	FH	0	-1	90
9 	 1	FH	0	1	84
9 	 1	FH	1	-1	77
9 	 1	FH	-1	1	78
9 	 1	FH	0	0	54
9 	 1	FH	-1	0	67
10 	 1	FH	1	0	89
10 	 1	FH	0	-1	32
10 	 1	FH	0	1	88
10 	 1	FH	1	-1	65
10 	 1	FH	-1	1	73
10 	 1	FH	0	0	35
10 	 1	FH	-1	0	83
11 	 1	FH	1	0	53
11 	 1	FH	0	-1	48
11 	 1	FH	0	1	38
11 	 1	FH	1	-1	46
11 	 1	FH	-1	1	39
11 	 1	FH	0	0	45
11 	 1	FH	-1	0	43
12 	 1	FH	1	0	136
12 	 1	FH	0	-1	138
12 	 1	FH	0	1	141
12 	 1	FH	1	-1	140
12 	 1	FH	-1	1	147
12 	 1	FH	0	0	139
12 	 1	FH	-1	0	137
13 	 1	FH	1	0	134
13 	 1	FH	0	-1	146
13 	 1	FH	0	1	91
13 	 1	FH	1	-1	132
13 	 1	FH	-1	1	130
13 	 1	FH	0	0	131
13 	 1	FH	-1	0	133
14 	 1	FH	1	0	127
14 	 1	FH	0	-1	135
14 	 1	FH	0	1	125
14 	 1	FH	1	-1	126
14 	 1	FH	0	0	119
14 	 1	FH	-1	1	129
14 	 1	FH	-1	0	128
15 	 1	FH	1	0	98
15 	 1	FH	0	-1	105
15 	 1	FH	1	-1	95
15 	 1	FH	-1	1	40
15 	 1	FH	0	0	96
15 	 1	FH	-1	0	101
16 	 1	FH	1	0	55
16 	 1	FH	0	-1	66
16 	 1	FH	0	1	75
16 	 1	FH	1	-1	63
16 	 1	FH	0	0	59
16 	 1	FH	-1	1	64
16 	 1	FH	-1	0	71
17 	 1	FH	1	0	123
17 	 1	FH	0	-1	113
17 	 1	FH	0	1	122
17 	 1	FH	1	-1	34
17 	 1	FH	-1	1	104
17 	 1	FH	0	0	106
17 	 1	FH	-1	0	100
18 	 1	FH	1	0	97
18 	 1	FH	0	-1	37
18 	 1	FH	0	1	99
18 	 1	FH	1	-1	111
18 	 1	FH	-1	1	121
18 	 1	FH	0	0	94
18 	 1	FH	-1	0	114
19 	 1	FH	1	0	118
19 	 1	FH	0	-1	120
19 	 1	FH	0	1	124
19 	 1	FH	1	-1	107
19 	 1	FH	-1	1	108
19 	 1	FH	0	0	102
19 	 1	FH	-1	0	109
