#Module_ID  #ASIC_ID  #Channel  #ADC_To_MIP  #LowGain_To_HighGain_Transition  #LowGain_To_HighGain_Conversion  #TOT_To_LowGain_Transition  #TOT_To_LowGain_Conversion  #TOT_Offset  #Fully_calibrated
78  3  14  0.0267011  1500  9  1119  6.62252  297  1
78  3  16  0.0265521  1500  9  1119  6.62252  297  1
78  3  18  0.0255867  1500  9  1119  6.62252  297  1
78  3  20  0.0257505  1500  9  1119  6.62252  297  0
78  3  22  0.0257505  1500  9  1119  6.62252  297  0
78  3  24  0.0257505  1500  9  1119  6.62252  297  0
78  3  26  0.0271137  1500  9  1119  6.62252  297  1
78  3  28  0.0257505  1500  9  1119  6.62252  297  0
78  3  30  0.0266541  1500  9  1119  6.62252  297  1
78  3  32  0.0261183  1500  9  1119  6.62252  297  1
78  3  34  0.0261045  1500  9  1119  6.62252  297  1
78  3  36  0.0260594  1500  9  1119  6.62252  297  1
78  3  38  0.0260476  1500  9  1119  6.62252  297  1
78  3  40  0.0261198  1500  9  1119  6.62252  297  1
78  3  42  0.0259497  1500  9  1119  6.62252  297  1
78  3  44  0.0266897  1500  9  1119  6.62252  297  1
78  3  46  0.0264629  1500  9  1119  6.62252  297  1
78  3  48  0.0259057  1500  9  1119  6.62252  297  1
78  3  50  0.0261906  1500  9  1119  6.62252  297  1
78  3  52  0.0259444  1500  9  1119  6.62252  297  1
78  3  54  0.0259016  1500  9  1119  6.62252  297  1
78  3  56  0.025473   1500  9  1119  6.62252  297  1
78  3  58  0.0257505  1500  9  1119  6.62252  297  0
78  3  60  0.0250766  1500  9  1119  6.62252  297  1
78  3  62  0.025883   1500  9  1119  6.62252  297  1
78  3  64  0.0257505  1500  9  1119  6.62252  297  0
90  0   0  0.0268569  1500  9  1105  5.15464  192  0
90  0   2  0.0226779  1500  9  1105  5.15464  192  0
90  0   4  0.023509   1500  9  1105  5.15464  192  0
90  0   6  0.0268569  1500  9  1105  5.15464  192  0
90  0   8  0.0241146  1500  9  1105  5.15464  192  0
90  0  10  0.0268569  1500  9  1105  5.15464  192  0
90  0  12  0.0268569  1500  9  1105  5.15464  192  0
90  0  14  0.0238307  1500  9  1105  5.15464  192  0
90  0  16  0.0236746  1500  9  1105  5.15464  192  0
90  0  18  0.0243281  1500  9  1105  5.15464  192  0
90  0  20  0.0233361  1500  9  1105  5.15464  192  0
90  0  22  0.0239167  1500  9  1105  5.15464  192  0
90  0  24  0.0235669  1500  9  1105  5.15464  192  0
90  0  26  0.0232242  1500  9  1105  5.15464  192  0
90  0  28  0.0245381  1500  9  1105  5.15464  192  0
90  0  30  0.0255321  1500  9  1105  5.15464  192  0
90  0  32  0.0268569  1500  9  1105  5.15464  192  0
90  0  34  0.0268569  1500  9  1105  5.15464  192  0
90  0  36  0.0268569  1500  9  1105  5.15464  192  0
90  0  38  0.0268569  1500  9  1105  5.15464  192  0
90  0  40  0.0239762  1500  9  1105  5.15464  192  0
90  0  42  0.0268569  1500  9  1105  5.15464  192  0
90  0  44  0.0268569  1500  9  1105  5.15464  192  0
90  0  46  0.0268569  1500  9  1105  5.15464  192  0
90  0  48  0.0268569  1500  9  1105  5.15464  192  0
90  0  50  0.0268569  1500  9  1105  5.15464  192  0
90  0  52  0.0268569  1500  9  1105  5.15464  192  0
90  0  54  0.0268569  1500  9  1105  5.15464  192  0
90  0  56  0.0268569  1500  9  1105  5.15464  192  0
90  0  58  0.0268569  1500  9  1105  5.15464  192  0
90  0  60  0.0268569  1500  9  1105  5.15464  192  0
90  0  62  0.0268569  1500  9  1105  5.15464  192  0
90  0  64  0.0268569  1500  9  1105  5.15464  192  0
90  1   0  0.0281809  1500  9  1105  5.15464  192  0
90  1   2  0.027646   1500  9  1105  5.15464  192  0
90  1   4  0.0268569  1500  9  1105  5.15464  192  0
90  1   6  0.0268569  1500  9  1105  5.15464  192  0
90  1   8  0.0288855  1500  9  1105  5.15464  192  0
90  1  10  0.0272947  1500  9  1105  5.15464  192  0
90  1  12  0.0268569  1500  9  1105  5.15464  192  0
90  1  14  0.0268569  1500  9  1105  5.15464  192  0
90  1  16  0.0257534  1500  9  1105  5.15464  192  0
90  1  18  0.0292738  1500  9  1105  5.15464  192  0
90  1  20  0.0275013  1500  9  1105  5.15464  192  0
90  1  22  0.025738   1500  9  1105  5.15464  192  0
90  1  24  0.027264   1500  9  1105  5.15464  192  0
90  1  26  0.0251919  1500  9  1105  5.15464  192  0
